id,name,createtime,closedtime,milestone_id,assignee_id,label_str,labels_count
66,"Test my acc activity",1456724083,1456724496,1586957,15067420,"feature,",1
67,"Test degree activity",1456724162,1456724514,1586957,15067420,"feature,",1
68,"Test Courses activity",1456724198,1456724534,1586957,15067420,"feature,",1
69,"Test seminar activity",1456724241,1456724557,1586957,15067420,"feature,",1
70,"Test miscellaneous requirement checklist",1456724287,1456724584,1586957,15067420,"feature,",1
71,"Test status activity",1456724340,1456724604,1586957,15067420,"feature,",1
72,"Test log file",1456724389,1456724620,1586957,15067420,"feature,",1
73,"Deciding on how to get grades of student for this solution",1456765826,1456767420,1599004,13955480,"feasibilty study,",1
74,"Implimenting getting courses taken in past-grades-courses enrolled ",1456765941,1456767926,1599014,13955480,"feature,",1
75,"Implimenting calc GPA ",1456766011,1456767988,1599014,13955480,"feature,",1
76,"Impliment the functionality to show Maximum/taken/remaining requirements",1456767154,1456767978,1599014,13955480,"feature,",1
77,"Test: GPA functionality",1456768168,1456808397,1599072,13955480,"test,",1
78,"Test: choosing subjects, adding enrolled status,etc",1456768315,1456808407,1599072,13955480,"test,",1
79,Solution3,1456805824,1456834465,,,"",0
80,"Add miscellaneou features",1456808369,1456808377,1599014,13955480,"feature,",1
81,"Test: seminar requirements",1456808864,1456808870,1599072,13955480,"test,",1
82,"Test graduation checklist functionality",1456808938,1456808943,1599072,13955480,"test,",1
83,"Update Readme file",1456875755,1456878029,1616657,13955480,"",0
84,"Review README",1456878850,1456883634,1616657,15067420,"Mar1,",1
85,"Creating survey for Solution1",1456881239,1459984677,1616760,15067420,"Evaluation Plan,",1
86,"Creating survey for Solution2",1456881299,1459961174,1616760,12735833,"Evaluation Plan,",1
87,"creating survey for Solution3",1456881337,1459965738,1616760,787529,"Evaluation Plan,",1
88,"creating survey for comparing Solution1 vs Solution2 vs Solution3",1456881375,1459984547,1616760,787529,"Evaluation Plan,",1
89,"Observing Users using Solution1",1456881503,,1616768,15067420,"Evaluation Plan,",1
90,"Observing Users using Solution2",1456881546,1459965476,1616768,787529,"Evaluation Plan,",1
91,"Observing Users using Solution3",1456881579,1459981582,1616768,13955480,"Evaluation Plan,",1
92,"conducting surveys for Solution1",1456881675,,1616776,15067420,"Evaluation Plan,",1
93,"conducting surveys for Solution2",1456881706,1459961189,1616776,12735833,"Evaluation Plan,",1
94,"conducting surveys for Solution3",1456881729,1459983073,1616776,13955480,"Evaluation Plan,",1
95,"Analyzing survey outcomes",1456881805,,1616779,787529,"Evaluation Plan,",1
96,"Analyzing logs",1456881823,1459984648,1616779,15067420,"Evaluation Plan,",1
97,Concluding,1456881869,,1616779,15067420,"Evaluation Plan,",1
98,"April deliverable: Report",1459981778,,1616779,15067420,"group work,",1
