id,time,sha,user,message
67,1456628798,8f0a09bf634eb818333792bb91132bde9d73ae55,group1/user3,"Wrong commit"
68,1456628752,56069649384b2accfc5b35cab86c9ff0415675f5,group1/user3,"Wrong commit"
69,1456628662,ec502bc16ed2160fe8d1b53768dad6db59a64a17,group1/user3,Merging
70,1456624935,8dcda8feae4ae93e4303cc93afee411709c99312,group1/user5,"Deleted Voice app"
71,1456624802,592c6c225c2f66046a57d4323d9be030d746464f,group1/user5,"Demo added"
72,1456624413,43d5ff5a9f9e270a54e86ec1f55ad077c38720d8,group1/user1,"Committing integration changes"
73,1456621989,54402e9943a72b527213159d8f4597c448df00df,group1/user5,"Merge branch 'master' of https://github.com/sandz-in/csc510_group_l"
74,1456621966,07b01ce8dcb6276459f66fe20c56cd02b0092b5b,group1/user5,"added voiceApp"
75,1456621493,6a8d36d6a5948c8ffa006631ee0e5b809be3a6ef,group1/user2,"added submodule"
76,1456621118,45e781bca6cf15954e4f8bb535338f53c07496bd,group1/user2,"#36 Image CLicker readded"
77,1456620920,797133e2f8743287d9e884b69e3bae60223c77ec,group1/user2,"Removing the folder"
78,1456620160,021ca9bc4bbd978c2544c30362f9b2993c8cd365,group1/user2,"Deleting Image clicker"
79,1456620028,934e66f30db4202bb3a0d99c9bab448a522bbda5,group1/user2,"Merge branch 'master' of https://github.com/sandz-in/csc510_group_l"
80,1456619773,285fe14eb4294244ec6b833445b019fb0420e6b1,group1/user4,"#29 Basic 2 pane navigation"
81,1456617964,f3c80a79ebbe974f22ea30fe81609c637dec9dad,group1/user6,"correcting commmit errors"
82,1456617007,4d873d8f68be0efabba12ea544b139d5c478b2d6,group1/user1,"Comitting final changes to the Main Activity file"
83,1456616687,3089e3e0afe791bc2f66c336fec8ac375b826de1,group1/user1,"Adding the activity expense description xm file"
84,1456616577,4e56abe2358209892804442930047916692850ae,group1/user1,"Adding xml code for the expense description"
85,1456615966,381de989e5fabbcaa04bfc841356d75fc10cae41,group1/user1,"Merge branch 'master' of https://github.com/sandz-in/csc510_group_l"
86,1456615915,2bb6b1632df9555271df5e730750270239f6e0c9,group1/user1,"Adding the java code for the expense description"
87,1456615853,3833cdd50f3b099a627dc73d7c49f24b5904cc2f,group1/user3,"Merge pull request #35 from sandz-in/baseframework

Merging the Baseframework to master"
88,1456615784,e8cf84643237ff98001a0b540cd79759b819cb6e,group1/user3,"#27: Login action and Dashboard Activity."
89,1456615652,14e5980a29dabd8bc45d1ecf1f9124fae81f4bc0,group1/user3,"#34: Interfaces for interacting with the REST API."
90,1456610795,28517caf9f1711c9fc226b369f6d4b1c7af5be9e,group1/user3,"#32: User POJO in android app."
91,1456610757,713125ca77094be9bb86aed2a55c52217b746246,group1/user3,"#32: Expense POJO in android app."
92,1456610578,6aafe62e2287b5ad802cf8b22c7983e0e5320c51,group1/user3,"#27: Login action called."
93,1456609409,d613c6c9eda2c9f4038ae4f554346f22bf3284d3,group1/user3,"#27: Login screen"
94,1456609220,a9920e5691ec43cf1bace421d30facb4bce9ae76,group1/user3,"#27: The master app where all the solutions will be integrated."
95,1456607669,e05ee38b780e420886da93534e24995e03382830,group1/user4,"#29 Adding .gitignore"
96,1456605471,e961be2f1dc7946c96638f9909f4d5e50a4ddae5,group1/user4,"#29 Intent Setup"
97,1456603665,7b49012cd501f5a3d1ee59bcd84ad0ce52a05657,group1/user4,"#23 Added Regex"
98,1455754537,557a8cbc5ab31b071857cd0219ec38699b17d634,group1/user6,"Merge branch 'master' of https://github.com/sandz-in/csc510_group_l"
99,1455754480,f267169bb177784d94c11f3da065cee72663528d,group1/user6,"#25 prototype made"
100,1455741419,1d610ccc20aa97cd9dc06a6f1fbcda95e66f62f4,group1/user4,"#15 Added code for a ListView display for SMSes"
101,1455739559,200236c82cf998c344b172d66afa6a54c60c5c40,group1/user4,"Merge branch 'master' of https://github.com/sandz-in/csc510_group_l"
102,1455739535,120be0f0c8ee09f812d8bec55c5b4a2ea7200b19,group1/user4,"#15 Initial commit"
103,1455737293,bd3fec79a6979bf8b4659f51267a85c9e1394abc,group1/user3,"#18 API to add a new user expense detail."
104,1455736236,6ff84abecb36adbb4d1e45164c91fd3009fb8c57,group1/user3,"#20 API to show the user expense detail."
105,1455729079,bf95c93ce809a163603e7286771be3ed88887853,group1/user3,"#19 API to view all the users expenses."
106,1455728858,4f9d85eb3021401319462501669cfe5d8acd9dbc,group1/user3,"#8 Adding currency for the expenses."
107,1455433482,43d3eada0ef549dc4cca2e26aef1ddbae4770f30,group1/user3,"#17 Authentication for end-users from mobile client."
108,1455423547,2bd27bf9c2fa8cd10bf8d5f8b4a9dc6595254f5a,group1/user3,"#8 Expense model for the application."
109,1455421315,a20387843dda7c8676b0a675846723f85336a2d7,group1/user3,Merging
110,1455421150,05a3b5a1ffdf23584ef8ab6c569f4ab264c6a23f,group1/user3,"Merge remote-tracking branch 'origin/web-app' into web-app"
111,1455421109,d5ab5e61bcf9e6d272495f3f61645dec70e2fab2,group1/user3,"#7 User model for the application."
112,1455420617,20bfa28324ab95f2fc6a005c28bd4e91df09eb79,group1/user3,"Merge pull request #16 from sandz-in/web-app

Merging to master from web-app."
113,1455420531,4bca36882cd0db09851c0080282ce9ee27c3235f,group1/user3,"#7 User model for the application and setting up MySQL."
114,1455419794,edb3eb6a2c276f2dc982462a9111962edb1a9589,group1/user3,"#7 User model for the application"
115,1455417993,0dcaba4767d803e604cd13c4114238cf810ee990,group1/user3,Merging
116,1455410454,3b0db5926f6dd036938dddd2da61e17761fcbe54,group1/user1,"Modified few errors related to double input of decimal and reposition of cursors"
117,1455410291,1e6040e13566cfab63ffd9b1d1b2ac3c93ce1c59,group1/user1,"Modified the functionality to prevent 0 from being added twice after the initial input"
118,1455408880,fb710e91f71cd339d440553f3f5e6e5d9f285244,group1/user1,"Modified few errors related to double input of decimal and reposition of cursors"
119,1455407686,f695b8b43ee036a32071811752dfbb882181c0ae,group1/user1,"Added the functionality to reposition the cursor after text input"
120,1455406901,0a23b461c28ab2cac68d95894f27390224d8b0c9,group1/user1,"Added the functionality for the numerical, reset, delete buttons"
121,1455402911,89a9a355ffc9821b2452a715e48bbcb0886f87af,group1/user1,"Created objects for buttons and the action listeners"
122,1455399068,5d429fc175b4a6d467abdc4403208df898421720,group1/user1,"Added the button for the decimal interface and navigating to the next window"
123,1455398548,0922ef32258b36948db6df517911dff150b2650c,group1/user1,"Added the numerical buttons"
124,1455396027,ccca849d503f51a7fc7f69c696685a57cca9c48a,group1/user1,"Created the text input for manualk interface"
125,1455390947,93af2a6afb34b29f05bad03012c6fa389316ac38,group1/user1,"Delete Manual input interface"
126,1455390892,37a6d07b903dc219e4fe3708a2b83d12e7f62f1a,group1/user1,"Create Manual input interface"
127,1455306975,ec8605201421836440efc41190e43bdfa7475eab,group1/user6,#12
128,1455295264,34fd7fd351fc05c46affe1fbb88c6a373f7aef3a,group1/user3,"#7 Setting up MySQL database for the project."
129,1455056119,9bdaf57e161e6446d1572c8a9e54533a25f512ff,group1/user3,"#9 Creating the expense_sharing application"
130,1455056004,50a7a076df845bdd342ae9a0f5ff15837b04ac98,group1/user3,"#9 Wrong location"
131,1455055863,db9b22ef9207f6e5a21e5ea7a3aed4b163f05ac4,group1/user3,"#9 Creating the expense_sharing application"
132,1455054953,a0b74fdec948428752579e7929727e716e8b0d47,group1/user3,"#6 Commiting the .gitignore and requirements.txt"
133,1455054817,55d67f4c41b4e97d1d3abe2a4f3a21e9c5f982ef,group1/user3,"#6 Setup the project"
134,1454382262,b8613d7fcf69a37c019436282f61d52cd464e0a2,group1/user3,"Adding the keywords section"
135,1454297892,fbcf19247529da2f38747a5828823fc12fc24355,group1/user3,"Issues with sharing expenses"
136,1453603179,2bfdce148a1b3e9467d9034efa6acdaff0a78c90,group1/user3,README.md
137,1452548659,529b8636ef51614c62b6389d7d278c90e0dec51d,group1/user3,"Initial commit"
